;D##LENGTH##MILLIMETERS;LG##LENGTH##MILLIMETERS;l##LENGTH##MILLIMETERS
M3 x ]0[;3;0;4
M3 x ]2[;3;2;6
M3 x ]4[;3;4;8
M3 x ]6[;3;6;10
M3 x ]8[;3;8;12
M3 x ]10[;3;10;16
M3 x ]12[;3;12;16
M3 x ]14[;3;14;18
M3 x ]16[;3;16;20
M3 x ]18[;3;18;22
M3 x ]20[;3;20;25
M3 x ]22[;3;22;30
M3 x ]25[;3;25;30
M3 x ]30[;3;30;35
M3 x ]35[;3;35;40
M3 x ]40[;3;40;50
M3 x ]45[;3;45;50
M3 x ]50[;3;50;60
M3 x ]55[;3;55;60
M4 x ]0[;4;0;6
M4 x ]2[;4;2;8
M4 x ]4[;4;4;10
M4 x ]6[;4;6;12
M4 x ]8[;4;8;14
M4 x ]10[;4;10;16
M4 x ]12[;4;12;18
M4 x ]14[;4;14;20
M4 x ]16[;4;16;22
M4 x ]18[;4;18;25
M4 x ]20[;4;20;30
M4 x ]22[;4;22;30
M4 x ]25[;4;25;35
M4 x ]30[;4;30;40
M4 x ]35[;4;35;45
M4 x ]40[;4;40;50
M4 x ]45[;4;45;55
M4 x ]50[;4;50;60
M4 x ]55[;4;55;65
M4 x ]60[;4;60;70
M4 x ]65[;4;65;75
M4 x ]70[;4;70;80
M5 x ]0[;5;0;8
M5 x ]2[;5;2;10
